"responseid	respid	d3	d5	d6a	dagechildfinal	d7	d8	ITEM_01	ITEM_02	ITEM_03	ITEM_04	ITEM_05	ITEM_06	ITEM_07	ITEM_08	ITEM_09	ITEM_10	ITEM_11	ITEM_12	ITEM_13	ITEM_14	ITEM_15	ITEM_16	ITEM_17	ITEM_18	ITEM_19	ITEM_20	ITEM_21	ITEM_22	ITEM_23	ITEM_24	ITEM_25	a2	a3_1	a3_2	a3_3	a3dk	a4_1	a5_1	a6_1	a4_2	a5_2	a6_2	a4_3	a5_3	a6_3	a7	a10_1	a10_2	a10_3	a10_4	a10_5	a10_6	a10_7	a10_8	a10_9	a10_10	a10_11	a10_12	dob	gender	age	ageband	natrepage	gor	child_gender	c_age	white	ITEM_07r	ITEM_21r	ITEM_25r	ITEM_11r	ITEM_14r	rc_game_01_name	rc_game01_edition	pegi_one_violence	rc_game01_confidence	rc_game_01_rating_ESRB	rc_game_01_esrb_Alcohol	rc_game_01_esrb_Animated_Blood	rc_game_01_esrb_Blood	rc_game_01_esrb_Blood_and_Gore	rc_game_01_esrb_Cartoon_Violence	rc_game_01_esrb_Comic_Mischief	rc_game_01_esrb_Crude_Humor	rc_game_01_esrb_Drug_Reference	rc_game_01_esrb_Fantasy_Violence	rc_game_01_esrb_Intense_Violence	rc_game_01_esrb_Language	rc_game_01_esrb_Lyrics	rc_game_01_esrb_Mature_Humor	rc_game_01_esrb_Nudity	rc_game_01_esrb_Partial_Nudity	rc_game_01_esrb_Real_Gambling	rc_game_01_esrb_Sexual_Content	rc_game_01_esrb_Sexual_Themes	rc_game_01_esrb_Sexual_Violence	rc_game_01_esrb_Simulated_Gambling	rc_game_01_esrb_Strong_Language	rc_game_01_esrb_Strong_Lyrics	rc_game_01_esrb_Strong_Sexual_Content	rc_game_01_esrb_Suggestive_Themes	rc_game_01_esrb_Tobacco_Reference	rc_game_01_esrb_Use_of_Alcohol	rc_game_01_esrb_Use_of_Drugs	rc_game_01_esrb_Use_of_Tobacco	rc_game_01_esrb_Violence	rc_game_01_esrb_Violent_References	rc_a2	rc_a3dk	rc_game_01_rating_PEGI	rc_game_01_violence_PEGI	rc_game_01_language_PEGI	rc_game_01_fear_PEGI	rc_game_01_gambling_PEGI	rc_game_01_sex_PEGI	rc_game_01_drugs_PEGI	rc_game_01_discrimination_PEGI	rc_game_01_how	rc_game_01_multi	rc_game_01_time	rc_game_02_name	rc_game_02_edition	rc_game02_confidence	rc_game_02_rating_ESRB	rc_game_02_esrb_Alcohol	rc_game_02_esrb_Animated_Blood	rc_game_02_esrb_Blood	rc_game_02_esrb_Blood_and_Gore	rc_game_02_esrb_Cartoon_Violence	rc_game_02_esrb_Comic_Mischief	rc_game_02_esrb_Crude_Humor	rc_game_02_esrb_Drug_Reference	rc_game_02_esrb_Fantasy_Violence	rc_game_02_esrb_Intense_Violence	rc_game_02_esrb_Language	rc_game_02_esrb_Lyrics	rc_game_02_esrb_Mature_Humor	rc_game_02_esrb_Nudity	rc_game_02_esrb_Partial_Nudity	rc_game_02_esrb_Real_Gambling	rc_game_02_esrb_Sexual_Content	rc_game_02_esrb_Sexual_Themes	rc_game_02_esrb_Sexual_Violence	rc_game_02_esrb_Simulated_Gambling	rc_game_02_esrb_Strong_Language	rc_game_02_esrb_Strong_Lyrics	rc_game_02_esrb_Strong_Sexual_Content	rc_game_02_esrb_Suggestive_Themes	rc_game_02_esrb_Tobacco_Reference	rc_game_02_esrb_Use_of_Alcohol	rc_game_02_esrb_Use_of_Drugs	rc_game_02_esrb_Use_of_Tobacco	rc_game_02_esrb_Violence	rc_game_02_esrb_Violent_References	rc_game_02_rating_PEGI	rc_game_02_violence_PEGI	rc_game_02_language_PEGI	rc_game_02_fear_PEGI	rc_game_02_gambling_PEGI	rc_game_02_sex_PEGI	rc_game_02_drugs_PEGI	rc_game_02_discrimination_PEGI	rc_game_02_how	rc_game_02_multi	rc_game_02_time	rc_game_03_name_PEGI	rc_game_03_edition	rc_game_03_confidence	rc_game_03_rating_ESRB	rc_game_03_esrb_Alcohol	rc_game_03_esrb_Animated_Blood	rc_game_03_esrb_Blood	rc_game_03_esrb_Blood_and_Gore	rc_game_03_esrb_Cartoon_Violence	rc_game_03_esrb_Comic_Mischief	rc_game_03_esrb_Crude_Humor	rc_game_03_esrb_Drug_Reference	rc_game_03_esrb_Fantasy_Violence	rc_game_03_esrb_Intense_Violence	rc_game_03_esrb_Language	rc_game_03_esrb_Lyrics	rc_game_03_esrb_Mature_Humor	rc_game_03_esrb_Nudity	rc_game_03_esrb_Partial_Nudity	rc_game_03_esrb_Real_Gambling	rc_game_03_esrb_Sexual_Content	rc_game_03_esrb_Sexual_Themes	rc_game_03_esrb_Sexual_Violence	rc_game_03_esrb_Simulated_Gambling	rc_game_03_esrb_Strong_Language	rc_game_03_esrb_Strong_Lyrics	rc_game_03_esrb_Strong_Sexual_Content	rc_game_03_esrb_Suggestive_Themes	rc_game_03_esrb_Tobacco_Reference	rc_game_03_esrb_Use_of_Alcohol	rc_game_03_esrb_Use_of_Drugs	rc_game_03_esrb_Use_of_Tobacco	rc_game_03_esrb_Violence	rc_game_03_esrb_Violent_References	rc_game_03_rating_PEGI	rc_game_03_violence_PEGI	rc_game_03_language_PEGI	rc_game_03_fear_PEGI	rc_game_03_gambling_PEGI	rc_game_03_sex_PEGI	rc_game_03_drugs_PEGI	rc_game_03_discrimination_PEGI	rc_game_03_how_PEGI	rc_game_03_multi_PEGI	rc_game_03_time_PEGI	game_one_violent_time	pegi_present_one	pegi_present_two	pegi_present_3	pegi_two_violence	agg_01	agg_02	agg_03	agg_04	agg_05	agg_06	agg_07	agg_08	agg_09	agg_10	agg_11	agg_12	trait_physical	trait_verbal	trait_anger	trait_hostility	child_age	game_two_violent_time	pegi_three_violence	game_three_violent_time	game_violent_time	check	gaming_time	game_violent_time_square	pegi_one_sensitivity	pegi_two_sensitivity	pegi_three_sensitivity	game_one_sensitive_time	game_two_sensitive_time	game_three_sensitive_time	game_sensitive_time	game_sensitive_time_squared	violent_game_player	esrb_01_violence	esrb_present	esrb_present_01	esrb_present_02	esrb_02_violence	esrb_present_03	esrb_03_violence	game_one_time	game_two_time	game_three_time	game_01_violent_time_esrb	game_02_violent_time_esrb	game_03_violent_time_esrb	violent_game_time_esrb	game_violent_time_square_esrb	female	conduct_problems	prosocial	ZRE_1	violent_game_time_semi_partial"
"1058	1058	Between ?64,500 and ?74,499	White British	2	14	Mother	Female	Somewhat true	Not true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Certainly true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Somewhat true	Certainly true	Not true	Not true	Somewhat true	Certainly true	Not true	Not true	Not true	Certainly true	Yes	Minecraft	Sims	 	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 2 hours a day	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 3 hours a day	 	 	 	Strongly agree	Very unlike me	Unlike me	Like me	Unlike me	Neither like or unlike me	Like me	Neither like or unlike me	Very unlike me	Very unlike me	Unlike me	Unlike me	Very unlike me	12/28/1958	Female	59	56-70	55 to 64	East of England	1	14	1	1	1	1	1	1	Minecraft	 	1	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 7	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 2 hours a day	The Sims	The Sims (Unspecified)	Rating avaliable for ESRB and PEGI	Teen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 12	Does contain this content	 	 	 	Does contain this content	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 3 hours a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	0	1	1	2	4	2	3	4	3	1	1	2	2	1	1,333333333	2	2,333333333	3	14	3	 	 	5	5	5	25	1	1	 	 	 	 	 	 	1	0	1	1	1	0	0	 	2	3	 	0	0	 	0	0	1	5	13	1,553347986	1,553347986"
"1059	1059	Between ?24,500 and ?34,499	White British	2	14	Mother	Female	Certainly true	Not true	Not true	Certainly true	Not true	Somewhat true	Certainly true	Somewhat true	Certainly true	Not true	Certainly true	Not true	Not true	Certainly true	Somewhat true	Certainly true	Somewhat true	Not true	Not true	Somewhat true	Certainly true	Not true	Somewhat true	Not true	Somewhat true	Yes	Minecraft	Lego Batman	 	Not selected	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	None at all	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About 1 hour a day	 	 	 	Disagree	Very unlike me	Neither like or unlike me	Very like me	Very unlike me	Very unlike me	Unlike me	Very like me	Very unlike me	Very unlike me	Very unlike me	Like me	Like me	03.11.1984	Female	33	25-40	25 to 34	Wales	1	14	1	1	1	2	1	1	Minecraft	 	1	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 7	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	None at all	Lego Batman: The Videogame	Lego Batman: The Videogame	Rating avaliable for ESRB and PEGI	Everyone 10+	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 7	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	No	About 1 hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	0	1	1	3	5	1	1	2	5	1	1	1	4	4	1	2,666666667	1,333333333	4,666666667	14	1	 	 	1	2	1	1	1	1	 	 	 	 	 	 	1	0	1	1	1	0	0	 	0	1	 	0	0	 	0	0	1	5	13	0,040434275	0,040434275"
"1061	1061	?150,000 or more	White British	2	15	Mother	Female	Somewhat true	Not true	Not true	Somewhat true	Not true	Not true	Certainly true	Not true	Somewhat true	Not true	Certainly true	Not true	Not true	Certainly true	Somewhat true	Not true	Certainly true	Somewhat true	Not true	Somewhat true	Somewhat true	Not true	Not true	Not true	Somewhat true	Yes	Candy crush	 	 	Not selected	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About half an hour a day	 	 	 	 	 	 	Strongly disagree	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Very unlike me	12.02.1962	Female	55	41-55	55 to 64	Wales	1	15	1	1	2	2	1	1	Candy Crush Saga	 	0	Rating avaliable for ESRB and PEGI, but edition unspecified	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About half an hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15	 	 	 	0	1	0,5	0	0	 	 	0	 	 	0	0	0	0	1	1	0	 	0	 	0,5	 	 	0	 	 	0	0	1	6	11	-0,661418336	-0,661418336"
"1068	1068	Between ?24,500 and ?34,499	White British	1	14	Mother	Female	Certainly true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Not true	Somewhat true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Not true	Somewhat true	Not true	Not true	Not true	Somewhat true	Yes	Mine craft	Sims 3	 	Not selected	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 1 hour a day	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, offline only	About 2 hours a day	 	 	 	Disagree	Very unlike me	Very unlike me	Very unlike me	Very unlike me	Unlike me	Very unlike me	Very unlike me	Very unlike me	Unlike me	Very unlike me	Very unlike me	Very unlike me	7/27/1974	Female	43	41-55	35 to 44	London	1	14	1	2	2	2	1	1	Minecraft	 	1	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 7	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 1 hour a day	The Sims	The Sims 3	Rating avaliable for ESRB and PEGI	Teen	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 12	Does contain this content	 	 	 	Does contain this content	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, offline only	About 2 hours a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	0	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1,333333333	1,333333333	1	14	2	 	 	3	2	3	9	1	1	 	 	 	 	 	 	1	0	1	1	1	0	0	 	1	2	 	0	0	 	0	0	1	6	11	0,636056121	0,636056121"
"1071	1071	?150,000 or more	Other White	1	14	Mother	Female	Certainly true	Somewhat true	Not true	Certainly true	Not true	Not true	Somewhat true	Certainly true	Certainly true	Somewhat true	Somewhat true	Not true	Somewhat true	Certainly true	Certainly true	Certainly true	Certainly true	Somewhat true	Somewhat true	Certainly true	Certainly true	Not true	Somewhat true	Certainly true	Somewhat true	Yes	Candy crush	Pokomon	 	Not selected	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About 1 hour a day	Personal Computer (e.g. PC, MAC, laptop, etc.)	No	About 1 hour a day	 	 	 	Disagree	Unlike me	Unlike me	Very like me	Very unlike me	Unlike me	Neither like or unlike me	Like me	Very unlike me	Unlike me	Unlike me	Neither like or unlike me	Like me	08.05.1964	Female	53	41-55	45 to 54	South East	1	14	1	2	1	2	2	1	Candy Crush Saga	 	0	Rating avaliable for ESRB and PEGI, but edition unspecified	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About 1 hour a day	Pok?mon	Pok?mon (Unspecified)	Rating avaliable for ESRB and PEGI	Everyone	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 7	Does contain this content	 	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	No	About 1 hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	0	1	2	2	5	1	2	3	4	1	2	2	3	4	1,333333333	2,666666667	2,333333333	4	14	1	 	 	1	2	2	1	0	1	 	0	 	 	0	0	1	0	1	1	1	0	0	 	1	1	 	0	0	 	0	0	1	7	15	-0,12321228	-0,12321228"
"1073	1073	Between ?54,500 and ?64,499	White British	3	14	Mother	Female	Somewhat true	Not true	Not true	Certainly true	Not true	Not true	Somewhat true	Somewhat true	Somewhat true	Not true	Certainly true	Not true	Somewhat true	Certainly true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Somewhat true	Not true	Not true	Somewhat true	Certainly true	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Very unlike me	Unlike me	Like me	Very unlike me	Unlike me	Very unlike me	Like me	Unlike me	Unlike me	Very unlike me	Unlike me	Unlike me	9/26/1968	Female	49	41-55	45 to 54	East Midlands	1	14	1	2	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	No	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	 	1	2	4	1	2	1	4	2	2	1	2	2	1,333333333	2	1,333333333	3,333333333	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	0	0	0	 	0	 	 	 	 	 	 	 	 	 	1	6	11	 	 "
"1075	1075	Between ?64,500 and ?74,499	White British	2	15	Father	Female	Somewhat true	Somewhat true	Not true	Certainly true	Certainly true	Not true	Somewhat true	Somewhat true	Somewhat true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Somewhat true	Not true	Not true	Somewhat true	Somewhat true	Not true	Not true	Somewhat true	Somewhat true	Yes	fifa 18	mario	minecraft	Not selected	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About 2 hours a day	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About 1 hour a day	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About 2 hours a day	Agree	Unlike me	Like me	Like me	Like me	Neither like or unlike me	Like me	Like me	Unlike me	Unlike me	Like me	Like me	Like me	5/27/1964	Male	53	41-55	45 to 54	North West	1	15	1	2	2	2	1	1	FIFA	FIFA 18	0	Rating avaliable for ESRB and PEGI	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About 2 hours a day	Super Mario Bros	Super Mario Bros (Unspecified)	Rating avaliable for ESRB and PEGI	Everyone 10+	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 7	Does contain this content	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About 1 hour a day	Minecraft	 	Rating avaliable for ESRB and PEGI	Everyone 10+	 	 	 	 	 	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 7	Does contain this content	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online only	About 2 hours a day	0	1	1	1	1	2	4	4	4	3	4	4	2	2	4	4	4	2,666666667	3,666666667	3,333333333	4	15	1	1	2	3	4	5	9	0	1	1	0	2	2	4	16	1	0	1	1	1	0	1	1	2	1	2	0	0	2	2	4	1	8	11	0,574126406	0,574126406"
"1080	1080	Between ?34,500 and ?44,499	White British	2	15	Mother	Female	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Certainly true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Certainly true	Not true	Not true	Certainly true	Certainly true	Not true	Not true	Not true	Certainly true	Yes	Candy Crush	Plants vs Zombies	 	Not selected	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About half an hour a day	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About half an hour a day	 	 	 	Disagree	Very unlike me	Neither like or unlike me	Very unlike me	Very unlike me	Very unlike me	Neither like or unlike me	Neither like or unlike me	Very unlike me	Very unlike me	Very unlike me	Very like me	Very unlike me	11.06.1969	Female	48	41-55	45 to 54	Scotland	1	15	1	1	1	1	1	1	Candy Crush Saga	 	0	Rating avaliable for ESRB and PEGI, but edition unspecified	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About half an hour a day	Plants vs. Zombies	Plants vs. Zombies (Unspecified)	Rating avaliable for ESRB and PEGI, but edition unspecified	Everyone 10+	 	Does contain this content	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 7	Does contain this content	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About half an hour a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	0	1	1	3	1	1	1	3	3	1	1	1	5	1	1	1,666666667	1,666666667	3	15	0,5	 	 	0,5	2	1	0,25	0	1	 	0	 	 	0	0	1	0	1	1	1	0	0	 	0,5	0,5	 	0	0	 	0	0	1	5	15	-0,346165394	-0,346165394"
"1081	1081	Between ?90,000 and ?99,999	White British	1	14	Mother	Female	Somewhat true	Somewhat true	Somewhat true	Certainly true	Somewhat true	Somewhat true	Certainly true	Certainly true	Certainly true	Not true	Certainly true	Not true	Somewhat true	Certainly true	Somewhat true	Not true	Certainly true	Not true	Not true	Certainly true	Certainly true	Not true	Certainly true	Not true	Somewhat true	Yes	Hay day	 	 	Not selected	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About 2 hours a day	 	 	 	 	 	 	Agree	Very unlike me	Like me	Very unlike me	Unlike me	Very like me	Like me	Like me	Unlike me	Neither like or unlike me	Neither like or unlike me	Like me	Unlike me	10/21/1968	Female	49	41-55	45 to 54	South East	1	14	1	1	1	2	1	1	Hay day	 	0	Missing rating or App without rating	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	No	About 2 hours a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	 	1	4	1	2	5	4	4	2	3	3	4	2	1,666666667	3,666666667	3,333333333	3	14	 	 	 	0	4	2	0	0	 	 	0	 	 	0	0	0	0	1	1	0	 	0	 	2	 	 	0	 	 	0	0	1	6	14	-0,730313537	-0,730313537"
"1095	1095	Between ?24,500 and ?34,499	White British	2	14	Father	Female	Certainly true	Not true	Somewhat true	Somewhat true	Not true	Somewhat true	Certainly true	Certainly true	Certainly true	Somewhat true	Somewhat true	Not true	Somewhat true	Certainly true	Not true	Somewhat true	Certainly true	Not true	Somewhat true	Certainly true	Somewhat true	Not true	Somewhat true	Somewhat true	Certainly true	Yes	Candy crush sage	 	 	Not selected	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online and offline	About 2 hours a day	 	 	 	 	 	 	Agree	Very unlike me	Like me	Like me	Neither like or unlike me	Like me	Like me	Like me	Like me	Like me	Unlike me	Like me	Very unlike me	11/16/1980	Male	37	25-40	35 to 44	South West	1	14	1	1	2	1	2	1	Candy Crush Saga	 	0	Rating avaliable for ESRB and PEGI, but edition unspecified	Early Childhood	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 3	 	 	 	 	 	 	 	Smartphone or tablet computer (e.g. iPhone, Andriod, etc.)	Yes, online and offline	About 2 hours a day	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	0	0	 	1	4	4	3	4	4	4	4	4	2	4	1	2,666666667	3	3,333333333	4	14	 	 	 	0	4	2	0	0	 	 	0	 	 	0	0	0	0	1	1	0	 	0	 	2	 	 	0	 	 	0	0	1	5	14	-0,759393691	-0,759393691"
"1098	1098	Between ?64,500 and ?74,499	White British	2	15	Mother	Female	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Not true	Certainly true	Not true	Certainly true	Somewhat true	Certainly true	Somewhat true	Not true	Certainly true	Somewhat true	Somewhat true	Somewhat true	Somewhat true	Somewhat true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Certainly true	Yes	Destiny	GTA V	Fallout	Not selected	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 4 hours a day	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 5 hours a day	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 4 hours a day	Agree	Neither like or unlike me	Like me	Like me	Like me	Unlike me	Very like me	Neither like or unlike me	Like me	Like me	Like me	Very like me	Very like me	9/23/1981	Female	36	25-40	35 to 44	South West	1	15	1	1	1	1	1	1	Destiny	Destiny (Unspecified)	1	Rating avaliable for ESRB and PEGI, but edition unspecified	Everyone 10+	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	Not selected	PEGI 16	Does contain this content	 	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 4 hours a day	Grand Theft Auto	Grand Theft Auto V	Rating avaliable for ESRB and PEGI	Mature	 	 	 	Does contain this content	 	 	 	 	 	Does contain this content	 	 	Does contain this content	 	 	 	 	 	 	 	Does contain this content	 	Does contain this content	 	 	Does contain this content	Does contain this content	 	 	 	PEGI 17	Does contain this content	Does contain this content	 	 	 	 	 	Personal Computer (e.g. PC, MAC, laptop, etc.)	Yes, online and offline	About 5 hours a day	Fallout	Fallout (Unspecifed)	Rating avaliable for ESRB and PEGI, but edition unspecified	Mature	 	 	 	Does contain this content	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	PEGI 17	Does contain this content	Does contain this content	 	 	 	 	 	Console (e.g. PlayStation, Xbox, Nintendo Wii, etc.)	Yes, online and offline	About 4 hours a day	4	1	1	1	1	3	4	4	4	2	5	3	4	4	4	5	5	3,666666667	3,666666667	4,333333333	4	15	5	1	4	13	4	13	169	2	3	3	8	12	12	32	1024	1	0	1	1	1	1	1	1	4	5	4	0	5	4	9	81	1	11	14	4,800543893	4,800543893"
